Step,Task,Loss,Perplexity,Memory_MB,Fried_Grad_Norm,Gate_Grad_Norm,Max_Gate_Mag,Active_Grad_Norm,Gate_Bias_Max,Gate_Bias_Min,Gate_Bias_Mean,Router_Weight_Norm,Probe_Loss,Probe_PPL,Probe_Gate_Bias_Max,Rescue_Openness_Mean,Rescue_Scale_Mean,Rescue_Scale_Max
92,COUNT_UP,0.010768,1.010826,294.06,0.000000000,0.000000000,0.0000,0.021191,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
93,COUNT_UP,0.021767,1.022006,294.08,0.000000000,0.000000000,0.0000,0.064698,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
94,COUNT_UP,0.010128,1.010179,294.06,0.000000000,0.000000000,0.0000,0.019588,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
95,COUNT_UP,0.019724,1.019920,294.08,0.000000000,0.000000000,0.0000,0.062090,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
96,COUNT_UP,0.011769,1.011839,294.06,0.000000000,0.000000000,0.0000,0.032482,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
97,COUNT_UP,0.008934,1.008974,294.08,0.000000000,0.000000000,0.0000,0.017630,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
98,COUNT_UP,0.021488,1.021720,294.06,0.000000000,0.000000000,0.0000,0.063229,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
99,COUNT_UP,0.008579,1.008616,294.08,0.000000000,0.000000000,0.0000,0.016037,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
100,COUNT_UP,0.008347,1.008382,294.06,0.000000000,0.000000000,0.0000,0.018620,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
101,COUNT_UP,0.008447,1.008482,294.08,0.000000000,0.000000000,0.0000,0.017266,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
102,COUNT_UP,0.008499,1.008535,294.06,0.000000000,0.000000000,0.0000,0.016447,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
103,COUNT_UP,0.008096,1.008129,294.08,0.000000000,0.000000000,0.0000,0.014872,0.0000,0.0000,0.0000,0.0000,0.000000,0.000000,0.0000,0.000000,0.00,0.00
